@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

merged_dataset,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138501,15388,15163,225,0,98.537822,1.462178,0,0.557192,0.005474,0.059748,68.32417,94.526212,2176.864846,1881.764629,295.100217,0.141465,0.122288,0.019177,-957.25496,-0.062208,-43.974019,0.520833,25,0.000978,15,0.999022,15325,0.479167,23,0.625,0.520833,0.568182,0.569325,0.988756,0.601258,0.985378,0.331684,0.668316,0.014622,0.991318,0.985378,0.987125,0.562265,0.986368,0.997954,0.701818,0.985378,0.328,0.028,0.328125,0.03125,328.125,31.25,504230,10861086,1381385,99.051209,15.097107,?,0,0,0,0,-2066227.611085,-2560591.979924,-2433880.524423,-2250690.100542,-2213451.100542
merged_dataset_part1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160688,17855,17720,135,0,99.243909,0.756091,0,0.783662,0.002824,0.035971,25.44027,48.313308,3150.490312,633.594467,2516.895845,0.176449,0.035486,0.140963,1676.328174,0.093886,53.208485,0.505952,85,0.000226,4,0.999774,17683,0.494048,83,0.955056,0.505952,0.661479,0.693278,0.998279,0.933988,0.992439,0.287682,0.712318,0.007561,0.993227,0.992439,0.992018,0.787778,0.997301,0.999267,0.850807,0.992439,0.446,0.032,0.4375,0.03125,437.5,31.25,453621,12549918,1551777,99.798376,14.745769,?,0,0,0,0,-2351764.278974,-2790588.042612,-2680175.715032,-2513199.385932,-2479761.385932
merged_dataset_part1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160688,17855,17692,163,0,99.08709,0.91291,0,0.72957,0.003281,0.039719,29.523406,53.27258,3160.656912,760.023932,2400.63298,0.177018,0.042566,0.134452,1520.149221,0.085139,48.09599,0.35119,59,0,0,1,17687,0.64881,109,1,0.35119,0.519824,0.590796,0.997577,0.919471,0.990871,0.359254,0.640746,0.009129,0.992205,0.990871,0.989869,0.737513,0.996964,0.999148,0.837442,0.990871,0.388,0.032,0.390625,0.03125,390.625,31.25,453423,12549918,1551777,99.770372,14.768172,?,0,0,0,0,-2350654.229904,-2789375.773561,-2678956.670232,-2512050.25167,-2478626.25167
merged_dataset_part1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160688,17855,17694,161,0,99.098292,0.901708,0,0.737935,0.003106,0.039348,27.945577,52.774693,3160.656912,769.061097,2391.595816,0.177018,0.043073,0.133945,1685.32639,0.09439,53.322029,0.434524,73,0.000226,4,0.999774,17683,0.565476,95,0.948052,0.434524,0.595918,0.639856,0.996524,0.92486,0.990983,0.339762,0.660238,0.009017,0.992037,0.990983,0.99037,0.743592,0.995122,0.999076,0.795515,0.990983,0.378,0.168,0.375,0.046875,375,46.875,453302,12549918,1551777,99.736768,14.719366,?,0,0,0,0,-2350704.91865,-2789375.829814,-2678946.647906,-2512075.184613,-2478658.184613
merged_dataset_part1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160689,17854,17691,163,0,99.087039,0.912961,0,0.740466,0.003285,0.040517,29.595593,54.417762,3150.079763,898.049364,2252.030399,0.176436,0.0503,0.126136,1498.523644,0.083932,47.570975,0.464286,78,0,0,1,17686,0.535714,90,1,0.464286,0.634146,0.679658,0.998799,0.942817,0.99087,0.321197,0.678803,0.00913,0.992819,0.99087,0.990677,0.74383,0.995537,0.999174,0.818906,0.99087,0.378,0.031,0.375,0.03125,375,31.25,453205,12549995,1551700,99.669542,14.754597,?,0,0,0,0,-2350360.425222,-2788981.035571,-2678549.615593,-2511713.003612,-2478303.003612
merged_dataset_part1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160689,17854,17715,139,0,99.221463,0.778537,0,0.787242,0.003061,0.037852,27.574253,50.838234,3150.079763,834.98886,2315.090903,0.176436,0.046768,0.129668,1542.871248,0.086416,48.978799,0.559524,94,0.000113,2,0.999887,17684,0.440476,74,0.979167,0.559524,0.712121,0.738529,0.997938,0.940333,0.992215,0.251374,0.748626,0.007785,0.993853,0.992215,0.992302,0.788039,0.995528,0.999208,0.854839,0.992215,0.5,0.032,0.375,0.03125,375,31.25,453312,12549995,1551700,99.71435,14.783402,?,0,0,0,0,-2350489.516891,-2789160.428056,-2678738.230655,-2511866.663382,-2478449.663382
merged_dataset_part1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160689,17854,17718,136,0,99.238266,0.761734,0,0.782406,0.002959,0.037113,26.65659,49.846641,3148.962457,713.238102,2435.724355,0.176373,0.039948,0.136425,1529.654905,0.085676,48.576473,0.485207,82,0.000283,5,0.999717,17680,0.514793,87,0.942529,0.485207,0.640625,0.6743,0.996685,0.921716,0.992383,0.287682,0.712318,0.007617,0.993163,0.992383,0.991919,0.786309,0.994704,0.998941,0.863486,0.992383,0.386,0.032,0.390625,0.03125,390.625,31.25,453631,12549995,1551700,99.77036,14.740194,?,0,0,0,0,-2351346.804718,-2790170.568356,-2679755.399534,-2512778.966387,-2479340.966387
merged_dataset_part1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160689,17854,17698,156,0,99.126246,0.873754,0,0.752755,0.003016,0.039508,27.170193,53.063029,3150.077467,835.052623,2315.024844,0.176435,0.046771,0.129664,1755.21854,0.09831,55.719853,0.452381,76,0.00017,3,0.99983,17683,0.547619,92,0.962025,0.452381,0.615385,0.657798,0.9977,0.914256,0.991262,0.307233,0.692767,0.008738,0.992822,0.991262,0.990959,0.755662,0.996533,0.999053,0.808876,0.991262,0.501,0.032,0.375,0.03125,375,31.25,453411,12549995,1551700,99.697547,14.731393,?,0,0,0,0,-2350289.607722,-2789011.151379,-2678592.372917,-2511685.850353,-2478261.850353
merged_dataset_part1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160689,17854,17695,159,0,99.109443,0.890557,0,0.74445,0.003227,0.039327,29.074091,52.820162,3150.461587,805.436013,2345.025574,0.176457,0.045112,0.131345,1509.561028,0.08455,47.915551,0.434524,73,0.000113,2,0.999887,17684,0.565476,95,0.973333,0.434524,0.600823,0.648464,0.998866,0.936422,0.991094,0.32399,0.67601,0.008906,0.992604,0.991094,0.990663,0.748587,0.996739,0.999237,0.827085,0.991094,0.377,0.032,0.375,0.03125,375,31.25,453209,12549995,1551700,99.736754,14.780201,?,0,0,0,0,-2350292.544381,-2788913.15473,-2678482.78278,-2511646.170799,-2478236.170799
merged_dataset_part1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,160689,17854,17717,137,0,99.232665,0.767335,0,0.783849,0.003018,0.037762,27.188645,50.71751,3150.461587,767.240108,2383.221479,0.176457,0.042973,0.133484,1554.647844,0.087076,49.346669,0.535714,90,0,0,1,17686,0.464286,78,1,0.535714,0.697674,0.730316,0.997128,0.939018,0.992327,0.276508,0.723492,0.007673,0.993872,0.992327,0.99222,0.786758,0.996592,0.99929,0.843558,0.992327,0.533,0.033,0.4375,0.03125,437.5,31.25,453300,12549995,1551700,99.731153,14.763398,?,0,0,0,0,-2350264.455438,-2788935.366603,-2678513.435422,-2511641.868149,-2478224.868149
