@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric

@data

merged_dataset,1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138501,15388,15221,167,0,98.914739,1.085261,0,0.399273,0.005939,0.055501,74.126461,87.806514,2176.864846,108999.66041,-106822.795564,0.141465,7.08342,-6.941954,-4056.4234,-0.26361,-186.342455,0,0,0.00013,2,0.99987,15338,1,48,0,0,0,-0.000638,0.974672,0.060362,0.989147,0.731474,0.268526,0.010853,?,0.989147,?,?,0.872653,0.987168,?,0.989147,6.468,0.009,2.640625,0.015625,2640.625,15.625,1574145,10861086,1381385,99.155186,16.254781,?,5282
merged_dataset_part1,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17855,0,0,100,0,0,1,0.000011,0.000063,0.095928,0.084167,3150.490312,0.960219,3149.530093,0.176449,0.000054,0.176395,3149.530093,0.176395,99.969522,1,168,0,0,1,17687,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.392,0.011,0.390625,0.015625,390.625,15.625,1040362,12549918,1551777,100,14.285714,?,4753
merged_dataset_part1,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17854,1,0,99.994399,0.005601,0,0.998563,0.000021,0.004001,0.190557,5.365592,3160.656912,1074.466879,2086.190033,0.177018,0.060177,0.116841,3154.495806,0.176673,99.805069,1,168,0.000057,1,0.999943,17686,0,0,0.994083,1,0.997033,0.997009,0.999972,0.994083,0.999944,0.000001,0.999999,0.000056,0.999944,0.999944,0.999944,0.998554,0.999972,0.999943,0.999572,0.999944,0.424,0.01,0.375,0.015625,375,15.625,1040843,12549918,1551777,99.994399,14.285714,?,4755
merged_dataset_part1,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17853,2,0,99.988799,0.011201,0,0.997113,0.000041,0.005656,0.366463,7.58611,3160.656912,25.17328,3135.483632,0.177018,0.00141,0.175608,3145.27135,0.176156,99.513216,0.994048,167,0,0,1,17687,0.005952,1,1,0.994048,0.997015,0.996991,0.999781,0.994728,0.999888,0.00557,0.99443,0.000112,0.999888,0.999888,0.999888,0.997099,0.999621,0.999888,0.998644,0.999888,0.35,0.009,0.34375,0.015625,343.75,15.625,1040337,12549918,1551777,99.988799,14.285714,?,4753
merged_dataset_part1,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17853,1,0,99.994399,0.005601,0,0.998559,0.000016,0.004,0.14416,5.372818,3150.079763,1074,2076.079763,0.176436,0.060155,0.116281,3144.385973,0.176117,99.819249,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999944,0,1,0.000056,0.999945,0.999944,0.999944,0.998551,0.999972,0.999944,0.999074,0.999944,0.408,0.01,0.359375,0.015625,359.375,15.625,1040843,12549995,1551700,99.994399,14.285714,?,4755
merged_dataset_part1,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17854,0,0,100,0,0,1,0,0,0,0,3150.079763,0,3150.079763,0.176436,0,0.176436,3150.079763,0.176436,100,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.361,0.01,0.359375,0.015625,359.375,15.625,1040843,12549995,1551700,100,14.285714,?,4755
merged_dataset_part1,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17853,1,0,99.994399,0.005601,0,0.998555,0.000023,0.003999,0.20749,5.371462,3148.962457,12.186311,3136.776146,0.176373,0.000683,0.17569,3141.584149,0.17596,99.765691,0.994083,168,0,0,1,17685,0.005917,1,1,0.994083,0.997033,0.997009,0.999779,0.994754,0.999944,0.002793,0.997207,0.000056,0.999944,0.999944,0.999944,0.998546,0.999893,0.999946,0.999572,0.999944,0.363,0.01,0.328125,0.015625,328.125,15.625,1040362,12549995,1551700,99.994399,14.285714,?,4753
merged_dataset_part1,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17852,2,0,99.988798,0.011202,0,0.997105,0.000039,0.00441,0.347941,5.923207,3150.077467,6.971936,3143.105531,0.176435,0.00039,0.176045,3143.105531,0.176045,99.778674,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999888,0.005586,0.994414,0.000112,0.999888,0.999888,0.99988,0.997087,1,1,0.979584,0.999888,0.371,0.01,0.375,0.015625,375,15.625,1040297,12549995,1551700,100,14.288915,?,4753
merged_dataset_part1,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17850,4,0,99.977596,0.022404,0,0.994194,0.000058,0.00623,0.520192,8.367122,3150.461587,12.137692,3138.323895,0.176457,0.00068,0.175777,3138.323895,0.175777,99.614733,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999776,0.011172,0.988828,0.000224,0.999776,0.999776,0.999731,0.994151,1,1,0.942841,0.999776,0.369,0.01,0.328125,0.015625,328.125,15.625,1040713,12549995,1551700,100,14.292115,?,4755
merged_dataset_part1,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17851,3,0,99.983197,0.016803,0,0.995652,0.000053,0.005953,0.476571,7.994956,3150.461587,18.353024,3132.108562,0.176457,0.001028,0.175429,3136.915948,0.175698,99.570043,0.994048,167,0,0,1,17686,0.005952,1,1,0.994048,0.997015,0.996991,0.999776,0.994714,0.999832,0.008379,0.991621,0.000168,0.999832,0.999832,0.999823,0.995629,0.999892,0.999946,0.975752,0.999832,0.333,0.009,0.328125,0.015625,328.125,15.625,1040297,12549995,1551700,99.994399,14.288915,?,4753
