timestamp,source,record_type,metric,value,label,message
2025-03-31 10:59:37,1.0.0.4,NETFLOW,flow,82,ICMP_FLOW,"Flow 1/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:2048, Pkts:82, Bytes:6888, Proto:1 | ICMP flow flagged"
2025-03-31 10:59:37,1.0.0.4,NETFLOW,flow,82,ICMP_FLOW,"Flow 2/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:2048, Pkts:82, Bytes:6888, Proto:1 | ICMP flow flagged"
2025-03-31 10:59:37,1.0.0.4,NETFLOW,flow,82,ICMP_FLOW,"Flow 3/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:0, Pkts:82, Bytes:6888, Proto:1 | ICMP flow flagged"
2025-03-31 10:59:37,1.0.0.4,NETFLOW,flow,81,ICMP_FLOW,"Flow 4/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:0, Pkts:81, Bytes:6804, Proto:1 | ICMP flow flagged"
2025-03-31 11:09:21,1.0.0.4,NETFLOW,flow,84,ICMP_FLOW,"Flow 1/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:2048, Pkts:84, Bytes:7056, Proto:1 | ICMP flow flagged"
2025-03-31 11:09:21,1.0.0.4,NETFLOW,flow,84,ICMP_FLOW,"Flow 2/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:2048, Pkts:84, Bytes:7056, Proto:1 | ICMP flow flagged"
2025-03-31 11:09:21,1.0.0.4,NETFLOW,flow,84,ICMP_FLOW,"Flow 3/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:0, Pkts:84, Bytes:7056, Proto:1 | ICMP flow flagged"
2025-03-31 11:09:21,1.0.0.4,NETFLOW,flow,84,ICMP_FLOW,"Flow 4/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:0, Pkts:84, Bytes:7056, Proto:1 | ICMP flow flagged"
2025-03-31 11:17:22,1.0.0.4,NETFLOW,flow,113,ICMP_FLOW,"Flow 1/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:2048, Pkts:113, Bytes:9492, Proto:1 | ICMP flow flagged"
2025-03-31 11:17:22,1.0.0.4,NETFLOW,flow,112,ICMP_FLOW,"Flow 2/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:2048, Pkts:112, Bytes:9408, Proto:1 | ICMP flow flagged"
2025-03-31 11:17:22,1.0.0.4,NETFLOW,flow,112,ICMP_FLOW,"Flow 3/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:0, Pkts:112, Bytes:9408, Proto:1 | ICMP flow flagged"
2025-03-31 11:17:22,1.0.0.4,NETFLOW,flow,112,ICMP_FLOW,"Flow 4/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:0, Pkts:112, Bytes:9408, Proto:1 | ICMP flow flagged"
2025-03-31 11:19:18,1.0.0.4,NETFLOW,flow,85,ICMP_FLOW,"Flow 1/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:2048, Pkts:85, Bytes:7140, Proto:1 | ICMP flow flagged"
2025-03-31 11:19:18,1.0.0.4,NETFLOW,flow,85,ICMP_FLOW,"Flow 2/4, Ver:5, Src:10.0.0.1:0 -> 20.0.0.1:2048, Pkts:85, Bytes:7140, Proto:1 | ICMP flow flagged"
2025-03-31 11:19:18,1.0.0.4,NETFLOW,flow,85,ICMP_FLOW,"Flow 3/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:0, Pkts:85, Bytes:7140, Proto:1 | ICMP flow flagged"
2025-03-31 11:19:18,1.0.0.4,NETFLOW,flow,85,ICMP_FLOW,"Flow 4/4, Ver:5, Src:20.0.0.1:0 -> 10.0.0.1:0, Pkts:85, Bytes:7140, Proto:1 | ICMP flow flagged"
2025-03-31 11:49:55,1.0.0.4,NETFLOW,flow,11,,"Flow 1/4, Ver:5, Src:20.0.0.1:38220 -> 10.0.0.1:5201, Pkts:11, Bytes:730, Proto:6"
2025-03-31 11:49:55,1.0.0.4,NETFLOW,flow,11,,"Flow 2/4, Ver:5, Src:20.0.0.1:38220 -> 10.0.0.1:5201, Pkts:11, Bytes:730, Proto:6"
2025-03-31 11:49:55,1.0.0.4,NETFLOW,flow,10,,"Flow 3/4, Ver:5, Src:10.0.0.1:5201 -> 20.0.0.1:38220, Pkts:10, Bytes:548, Proto:6"
