Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,Algorithm
merged_dataset_part1,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17855,0,0,100,0,0,1,0,0,0,0,3150.490312,0,3150.490312,0.176449,0,0.176449,3150.490312,0.176449,100,1,168,0,0,1,17687,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.549,0.06,0.5625,0,562.5,0,1558356,12549918,1551777,100,14.285714,'Number of leaves: 4748\nSize of the tree: 4759\n',4759,4748,4748,tree_J48
merged_dataset_part1,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17854,1,0,99.994399,0.005601,0,0.998563,0.000019,0.004013,0.16701,5.382378,3160.656912,1074.235575,2086.421338,0.177018,0.060164,0.116854,3154.72711,0.176686,99.812387,1,168,0.000057,1,0.999943,17686,0,0,0.994083,1,0.997033,0.997009,0.999972,0.994083,0.999944,0.000001,0.999999,0.000056,0.999944,0.999944,0.999944,0.998554,0.999971,0.999943,0.999572,0.999944,0.427,0.012,0.421875,0.015625,421.875,15.625,1557792,12549918,1551777,99.994399,14.285714,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160688,17855,17855,0,0,100,0,0,1,0,0,0,0,3160.656912,0,3160.656912,0.177018,0,0.177018,3160.656912,0.177018,100,1,168,0,0,1,17687,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.404,0.01,0.390625,0,390.625,0,1557792,12549918,1551777,100,14.285714,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17852,2,0,99.988798,0.011202,0,0.997121,0.000034,0.005555,0.305618,7.460289,3150.079763,1078.879431,2071.200332,0.176436,0.060428,0.116008,3138.515502,0.175788,99.63289,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999888,0,1,0.000112,0.999898,0.999888,0.999891,0.997111,0.999971,0.999906,0.986083,0.999888,0.443,0.014,0.40625,0.015625,406.25,15.625,1557792,12549995,1551700,99.988798,14.285714,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0,0,0,0,3150.079763,0,3150.079763,0.176436,0,0.176436,3150.079763,0.176436,100,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.418,0.014,0.40625,0.015625,406.25,15.625,1557792,12549995,1551700,100,14.285714,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0,0,0,0,3148.962457,0,3148.962457,0.176373,0,0.176373,3148.962457,0.176373,100,1,169,0,0,1,17685,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.411,0.01,0.40625,0.015625,406.25,15.625,1557792,12549995,1551700,100,14.285714,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17852,2,0,99.988798,0.011202,0,0.997105,0.000028,0.004409,0.252483,5.922259,3150.077467,6.016348,3144.061119,0.176435,0.000337,0.176098,3144.061119,0.176098,99.80901,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999888,0.005586,0.994414,0.000112,0.999888,0.999888,0.99988,0.997087,1,1,0.979584,0.999888,0.406,0.01,0.40625,0.015625,406.25,15.625,1557792,12549995,1551700,100,14.288915,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17850,4,0,99.977596,0.022404,0,0.994194,0.000056,0.00623,0.504289,8.366849,3150.461587,11.978427,3138.48316,0.176457,0.000671,0.175786,3138.48316,0.175786,99.619788,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999776,0.011172,0.988828,0.000224,0.999776,0.999776,0.999731,0.994151,1,1,0.942841,0.999776,0.464,0.044,0.421875,0,421.875,0,1557792,12549995,1551700,100,14.292115,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17852,2,0,99.988798,0.011202,0,0.997105,0.000031,0.00442,0.275345,5.936939,3150.461587,6.235575,3144.226012,0.176457,0.000349,0.176108,3144.226012,0.176108,99.802074,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,0.999888,0.005586,0.994414,0.000112,0.999888,0.999888,0.999879,0.997086,1,1,0.976182,0.999888,0.426,0.011,0.40625,0.015625,406.25,15.625,1557792,12549995,1551700,100,14.288915,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
merged_dataset_part1,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,160689,17854,17854,0,0,100,0,0,1,0.000003,0.00032,0.023066,0.429825,3150.461587,0.235575,3150.226012,0.176457,0.000013,0.176444,3150.226012,0.176444,99.992523,1,168,0,0,1,17686,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.407,0.01,0.40625,0,406.25,0,1557792,12549995,1551700,100,14.285714,'Number of leaves: 4747\nSize of the tree: 4757\n',4757,4747,4747,tree_J48
